,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
695,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890205645,MARVAL S.A.,2020-12-31,F4111 - Construcción de edificios residenciales,01. SOCIEDAD ANÓNIMA,CARRERA 29 45 45  OFICINA 1801 BARRIO SOTOMAYOR,SANTANDER,BUCARAMANGA-SANTANDER,Periodo Anterior,92281328,42881279,1774633296,728410,,,55185030,,1965709343,,1965709343,428320643,48277715,,156897,44728337,,112035825,1123818034,9926994,,24784998,232294567,,2024344010,3990053353,,5985956,5985956,443948124,9439772,18268,599753947,1059146067,,1059146067,95857,24598417,24694274,472811815,,,,,497506089,1556652156,11052734,600925,,,,,8381373,1900033209,1920068241,513332956,2433401197,3990053353
696,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890206351,SISTEMAS Y COMPUTADORES S.A.-,2020-12-31,"J6311 - Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",01. SOCIEDAD ANÓNIMA,KILOMETRO 2.176 ANILLO VIAL FLORIDABLANCA-GIRÓN TORRE SYC PISO 8 ECOPARQUE EMPRESARIAL NATURA,SANTANDER,FLORIDABLANCA-SANTANDER,Periodo Actual,79974820,15435291,707390,,,236681,1267953,,97622135,,97622135,7691870,48538632,,2522005,,,,,6474664,,,1596823,,66823994,164446129,4796121,,4796121,4140481,4726899,950284,3870026,18483811,,18483811,,,,,9835454,,,,9835454,28319265,25000000,,,,,9188072,4081442,97783662,136053176,73688,136126864,164446129
697,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890206351,SISTEMAS Y COMPUTADORES S.A.-,2020-12-31,"J6311 - Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",01. SOCIEDAD ANÓNIMA,KILOMETRO 2.176 ANILLO VIAL FLORIDABLANCA-GIRÓN TORRE SYC PISO 8 ECOPARQUE EMPRESARIAL NATURA,SANTANDER,FLORIDABLANCA-SANTANDER,Periodo Anterior,115244235,12418738,667301,,,254482,750506,,129335262,,129335262,7691870,50866981,,3031197,,,,,7890410,,,1184280,,70664738,200000000,4640825,,4640825,7208065,9311635,894820,2782177,24837522,,24837522,,,,,9717083,,846682,,10563765,35401287,25000000,,,,,9377450,1009400,129143539,164530389,68324,164598713,200000000
698,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890212254,INRALE S.A.,2020-12-31,F4111 - Construcción de edificios residenciales,01. SOCIEDAD ANÓNIMA,GIRON ECOPARQUE EMPRESARIAL NATURA TO 1 OF 604,SANTANDER,FLORIDABLANCA-SANTANDER,Periodo Actual,377131,2395878,16080687,,,,,,18853696,,18853696,5460846,1636336,,,,,30234,,,,20988573,34534,,28150523,47004219,,,,3392678,,808172,,4200850,,4200850,,,,34685477,,,9529856,,44215333,48416183,300000,,,,,,119497,-1831461,-1411964,,-1411964,47004219
699,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890212254,INRALE S.A.,2020-12-31,F4111 - Construcción de edificios residenciales,01. SOCIEDAD ANÓNIMA,GIRON ECOPARQUE EMPRESARIAL NATURA TO 1 OF 604,SANTANDER,FLORIDABLANCA-SANTANDER,Periodo Anterior,433700,4461794,21883644,,,,,,26779138,,26779138,5931996,1745157,,,,,170735,,,,17011949,198698,,25058535,51837673,,,,3868723,,775452,,4644175,,4644175,,,,32516117,,,14722806,,47238923,51883098,300000,,,,,,119497,-464922,-45425,,-45425,51837673
700,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890300213,ALUMINIO NACIONAL S.A,2020-12-31,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,01. SOCIEDAD ANÓNIMA,Cra 32 11 101,VALLE,YUMBO-VALLE,Periodo Actual,3493279,17973194,54752914,2473508,,655518,,,79348413,6068014,85416427,0,90259420,,6496923,,,1316244,,784296,,11876556,336543,,111069982,196486409,2652301,,2652301,20824513,4394279,5181624,,33052717,,33052717,172236,,172236,37588870,8941235,,71796408,0,118498749,151551466,11619893,26384457,,,,,20833957,-13903364,44934943,,44934943,196486409
701,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890300213,ALUMINIO NACIONAL S.A,2020-12-31,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,01. SOCIEDAD ANÓNIMA,Cra 32 11 101,VALLE,YUMBO-VALLE,Periodo Anterior,5741179,32516534,53315878,6675792,,801910,,,99051293,20144819,119196112,1726915,78782539,,8791948,,,1377952,,550813,,15294001,1976162,,108500330,227696442,3426637,,3426637,46755246,3815483,36135877,,90133243,,90133243,157939,,157939,,8308679,,45650556,1639613,55756787,145890030,11619893,26384457,,,,,20391059,23411003,81806412,,81806412,227696442
702,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890300346,ALMACENES LA 14 S A,2020-12-31,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",01. SOCIEDAD ANÓNIMA,CR 1 66 49 CALIMA CENTRO COMERCIAL 3 PISO CENTRO DE RADICACION,VALLE,CALI-VALLE,Periodo Actual,9797000,23924000,20167000,,,837000,10000,,54735000,102915000,157650000,224191000,1446820000,,18112000,,,5168000,,,,30376000,,,1724667000,1882317000,7769000,,7769000,247670000,15838000,387813000,9211000,668301000,,668301000,2448000,,2448000,9080000,81464000,,460856000,10175000,564023000,1232324000,41000000,,,,,,152597000,-96226000,97371000,552622000,649993000,1882317000
703,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890300346,ALMACENES LA 14 S A,2020-12-31,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",01. SOCIEDAD ANÓNIMA,CR 1 66 49 CALIMA CENTRO COMERCIAL 3 PISO CENTRO DE RADICACION,VALLE,CALI-VALLE,Periodo Anterior,19069000,21783000,88610000,,,4242000,27000,,133731000,131413000,265144000,568541000,1518403000,,20196000,,,5222000,,,,27936000,,,2140298000,2405442000,7627000,,7627000,264376000,15149000,169356000,18460000,474968000,,474968000,2991000,,2991000,9197000,87393000,,1090084000,7836000,1197501000,1672469000,41000000,,,,,,152597000,1210000,194807000,538166000,732973000,2405442000
704,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890300466,TECNOQUIMICAS S.A,2020-12-31,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",01. SOCIEDAD ANÓNIMA,CALLE 23 NRO 7 39,VALLE,CALI-VALLE,Periodo Actual,226574021,420921491,359089621,2632710,,35642617,29107,,1044889567,,1044889567,46356701,1077617889,81495940,237796641,6868568,,6328203,,344833,,94476,,,1456903251,2501792818,27396432,10346023,37742455,199840796,16029447,87040499,31830764,372483961,,372483961,8259403,1360219,9619622,22782625,79265698,,261842540,29430357,402940842,775424803,22203255,131393446,,,,298632522,959371148,314367788,1725968159,399856,1726368015,2501792818
705,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890300466,TECNOQUIMICAS S.A,2020-12-31,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",01. SOCIEDAD ANÓNIMA,CALLE 23 NRO 7 39,VALLE,CALI-VALLE,Periodo Anterior,177955265,420168711,313022140,20298263,,21174420,13959,,952632758,,952632758,37393237,929403973,81495940,238398626,3043959,,5510173,,188498,,87655,,,1295522061,2248154819,24208230,8878581,33086811,214197814,10979074,48629966,39511842,346405507,,346405507,7799391,352675,8152066,32877818,70037373,,364728495,27691785,503487537,849893044,22203255,131393446,,,,234618523,786736517,222940456,1397892197,369578,1398261775,2248154819
706,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890300918,SAGER SA,2020-12-31,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,01. SOCIEDAD ANÓNIMA,CL 25 1 N 65,VALLE,CALI-VALLE,Periodo Actual,3897398,5947719,11474994,1344301,,,1037586,,23701998,,23701998,,23458109,,9724918,,,,,594032,,,,,33777059,57479057,694664,192911,887575,2797051,434241,7573200,,11692067,,11692067,,,,,1145752,,15247318,,16393070,28085137,12400000,,,,887067,8786560,5436498,1883795,29393920,,29393920,57479057
707,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890300918,SAGER SA,2020-12-31,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,01. SOCIEDAD ANÓNIMA,CL 25 1 N 65,VALLE,CALI-VALLE,Periodo Anterior,985073,4986398,11753517,1584974,,,1173639,,20483601,,20483601,,23367271,,9745264,,,,,630623,,,36241,,33779399,54263000,646772,84731,731503,3050007,564234,7663395,,12009139,,12009139,,,,,757451,,13479845,717,14238013,26247152,12400000,,,,1100221,7838751,6075751,601125,28015848,,28015848,54263000
708,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301443,AMALFI S.A.S.,2020-12-31,K6494 - Otras actividades de distribución de fondos,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,AVENIDA 3 OESTE 10 51,VALLE,CALI-VALLE,Periodo Actual,9379095,14053777,10470,455417,4601485,27233921,13731,,55747896,273000,56020896,89497,17820806,,265574,89867827,,,,,,1791408265,,,1899451969,1955472865,478597,,478597,3399060,748,18768981,2824852,25472238,,25472238,,,,,11872274,,,,11872274,37344512,11252423,176788264,336974053,,,,1705277093,312115283,1868459010,49669343,1918128353,1955472865
709,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301443,AMALFI S.A.S.,2020-12-31,K6494 - Otras actividades de distribución de fondos,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,AVENIDA 3 OESTE 10 51,VALLE,CALI-VALLE,Periodo Anterior,20755968,12980628,16607,1513916,3679320,768359,23580,,39738378,273000,40011378,89497,17971316,,60254,110434594,,,,,,1924005786,,,2052561447,2092572825,411363,,411363,609944,,703453,14276770,16001530,,16001530,,,,,8515698,,,,8515698,24517228,11252423,176788264,305557557,,,,1921756534,214042181,2018281845,49773752,2068055597,2092572825
710,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301868,ROY ALPHA SA,2020-12-31,C2740 - Fabricación de equipos eléctricos de iluminación,01. SOCIEDAD ANÓNIMA,CL 15 32 598,VALLE,YUMBO-VALLE,Periodo Actual,8722805,16164538,18907948,,,,,,43795291,,43795291,,11345872,,,,,,,,,,283878,,11629750,55425041,,,,6380594,1329560,9160288,,16870442,,16870442,,,,,670490,,7080487,278614,8029591,24900033,187121,1290794,,,,,20060884,8986209,30525008,,30525008,55425041
711,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301868,ROY ALPHA SA,2020-12-31,C2740 - Fabricación de equipos eléctricos de iluminación,01. SOCIEDAD ANÓNIMA,CL 15 32 598,VALLE,YUMBO-VALLE,Periodo Anterior,2395172,27225037,23764995,,,,,,53385204,,53385204,,10542628,,,,,,,,,,326984,,10869612,64254816,,,,15378705,1920810,16376099,,33675614,,33675614,,,,,748760,,560000,316757,1625517,35301131,187121,1290794,,,,,18066299,9409471,28953685,,28953685,64254816
712,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301886,FABRICA NACIONAL DE AUTOPARTES FANALCA S.A.,2020-12-31,C3091 - Fabricación de motocicletas,01. SOCIEDAD ANÓNIMA,CL 13 31A 80 ACOPI,VALLE,YUMBO-VALLE,Periodo Actual,109076704,286608735,263619417,9968318,,955105,11340426,,681568705,1049998,682618703,48443650,239852457,,48326962,,,4444803,,21712668,,184465185,14948992,,562194717,1244813420,19752085,7469396,27221481,136105987,17186229,173009216,1732621,355255534,,355255534,,0,0,91930445,49842224,,248113882,39665878,429552429,784807963,13000000,46411757,,,,6751772,250561483,129617790,446342802,13662655,460005457,1244813420
713,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301886,FABRICA NACIONAL DE AUTOPARTES FANALCA S.A.,2020-12-31,C3091 - Fabricación de motocicletas,01. SOCIEDAD ANÓNIMA,CL 13 31A 80 ACOPI,VALLE,YUMBO-VALLE,Periodo Anterior,41728013,224055163,293154469,43518208,,232176,12541686,,615229715,1161159,616390874,38542384,249755646,,51785358,,,83577726,,28768230,,150689209,18161873,,621280426,1237671300,20138692,9602967,29741659,109181080,17733329,287712454,1778943,446147465,,446147465,,554169,554169,96642558,53357737,,239946913,44813504,435314881,881462346,13000000,46411757,,,,6378283,195640576,80737936,342168552,14040402,356208954,1237671300
714,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301960,CARVAJAL PULPA Y PAPEL S.A.,2020-12-31,C1701 - Fabricación de pulpas (pastas) celulósicas; papel y cartón,01. SOCIEDAD ANÓNIMA,KM 6 CARR ANTIGUA A YUMBO,VALLE,YUMBO-VALLE,Periodo Actual,54415978,156978552,118019942,34407053,,,4200469,,368021994,194818,368216812,,515793426,,1823452,10710368,,7257501,,,,,32830,,535617577,903834389,12370322,,12370322,169766133,5435868,133789349,2414911,323776583,,323776583,3867868,,3867868,13597128,19367117,,182678861,12798093,232309067,556085650,5966303,101397440,,,,,93426679,147028520,347818942,-70203,347748739,903834389
715,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301960,CARVAJAL PULPA Y PAPEL S.A.,2020-12-31,C1701 - Fabricación de pulpas (pastas) celulósicas; papel y cartón,01. SOCIEDAD ANÓNIMA,KM 6 CARR ANTIGUA A YUMBO,VALLE,YUMBO-VALLE,Periodo Anterior,18610467,155401395,121247074,26334310,,,3382236,,324975482,,324975482,,520019382,,1465522,,,8222235,,,,,29132229,,558839368,883814850,12528220,,12528220,165025698,8599576,80650880,4225810,271030184,,271030184,4521027,,4521027,3064213,30297478,,160051993,23120316,221055027,492085211,5966303,101397440,,,,,86495877,197711699,391571319,158320,391729639,883814850
716,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890302180,GRUPO IT INDUSTINTAS SAS,2020-12-31,"C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 9  21 111,VALLE,YUMBO-VALLE,Periodo Actual,312574,1797255,2006036,,,,,,4115865,,4115865,250953,6535138,,,,,660440,,521378,,,,,7967909,12083774,147901,26607,174508,1411035,229600,1093737,,2908880,,2908880,,,,133280,1416931,,1938458,,3488669,6397549,1454443,,,,,962496,736622,1792601,4946162,740063,5686225,12083774
717,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890302180,GRUPO IT INDUSTINTAS SAS,2020-12-31,"C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 9  21 111,VALLE,YUMBO-VALLE,Periodo Anterior,349527,2594337,2029134,,,,,,4972998,,4972998,371027,6805638,,,,,647180,,492142,,,,,8315987,13288985,127003,54657,181660,1667819,373001,1596284,,3818764,,3818764,2617,,2617,114473,1542355,,983770,,2643215,6461979,1454443,,,,,917290,736622,2970454,6078809,748197,6827006,13288985
718,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304099,HOTELES ESTELAR S.A.,2020-12-31,I5511 - Alojamiento en hoteles,01. SOCIEDAD ANÓNIMA,AVENIDA COLOMBIA 2-72,VALLE,CALI-VALLE,Periodo Actual,11788476,80504187,8597615,2399671,,39399532,1855855,,144545336,18143065,162688401,,634568089,6661310,2836374,,,90769647,,,,0,,,734835420,897523821,4267188,0,4267188,90248853,334,65590600,921290,161028265,,161028265,1251271,22390003,23641274,109581723,18118952,,231729097,,383071046,544099311,49693120,141841893,,,58886957,10093271,36620787,18149533,315285561,38138949,353424510,897523821
719,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304099,HOTELES ESTELAR S.A.,2020-12-31,I5511 - Alojamiento en hoteles,01. SOCIEDAD ANÓNIMA,AVENIDA COLOMBIA 2-72,VALLE,CALI-VALLE,Periodo Anterior,15654778,106356567,9627388,3942090,,50390996,1350034,,187321853,0,187321853,,595196217,6661310,3099856,,,59907808,,,,602305,,,665467496,852789349,10438404,1992148,12430552,101252411,23928,43478871,795253,157981015,,157981015,1406802,22822478,24229280,100400782,22649918,,140637866,,287917846,445898861,49693120,141841893,,,60444592,11200479,35201621,61796786,360178491,46711997,406890488,852789349
720,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304140,IMPORTADORA CALI SA,2020-12-31,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",01. SOCIEDAD ANÓNIMA,CALLE 15 29A 11 BODEGA 2A-3A PARQUE LOGISTICO EMPRESARIAL,VALLE,YUMBO-VALLE,Periodo Actual,5698602,11319827,26632493,594304,0,0,0,0,44245226,0,44245226,6120584,21015805,0,630553,0,0,674446,0,325142,0,0,93497,0,28860027,73105253,0,336513,336513,8731243,1623692,12633727,543537,23868712,0,23868712,0,238123,238123,16865265,1226920,0,0,3213182,21543490,45412202,433747,0,0,0,13011419,4578368,167594,9501923,27693051,0,27693051,73105253
721,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304140,IMPORTADORA CALI SA,2020-12-31,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",01. SOCIEDAD ANÓNIMA,CALLE 15 29A 11 BODEGA 2A-3A PARQUE LOGISTICO EMPRESARIAL,VALLE,YUMBO-VALLE,Periodo Anterior,2709468,11739160,34251244,185451,0,0,0,0,48885323,0,48885323,6120584,13481393,0,202169,0,0,706673,0,390992,0,0,72229,0,20974040,69859363,0,226006,226006,24692430,2714851,2716278,588666,30938231,0,30938231,0,234349,234349,6608109,1656909,0,0,5029029,13528396,44466627,406061,0,0,0,13011419,4578368,167595,7229293,25392736,0,25392736,69859363
722,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304297,ADMINISTRACION E INVERSIONES COMERCIALES S.A.,2020-12-31,K6493 - Actividades de compra de cartera o factoring,01. SOCIEDAD ANÓNIMA,AV 6A BIS 35N 100 OFC 211,VALLE,CALI-VALLE,Periodo Actual,10372312,284330689,15260425,4614175,,,354246,,314931847,6874925,321806772,176033439,11292931,,,,,2201108,,13263262,,9440089,,,212230829,534037601,2261359,,2261359,14386286,2641044,43410376,4829701,67528766,,67528766,,,,64547140,23858859,,121004945,,209410944,276939710,1026000,36086169,,,,302261,93026401,121300275,251741106,5356785,257097891,534037601
723,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304297,ADMINISTRACION E INVERSIONES COMERCIALES S.A.,2020-12-31,K6493 - Actividades de compra de cartera o factoring,01. SOCIEDAD ANÓNIMA,AV 6A BIS 35N 100 OFC 211,VALLE,CALI-VALLE,Periodo Anterior,3007156,248448637,21585922,2458240,,,65885,,275565840,6576100,282141940,163624878,10935719,,,,,1947545,,18348460,,9740218,,,204596820,486738760,1716402,,1716402,6341856,2866337,49816836,1625144,62366575,,62366575,,,,49567447,22697946,,115333004,,187598397,249964972,1026000,36086169,,,,126423,86830155,107147696,231216443,5557345,236773788,486738760
724,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304403,EMA HOLDINGS S.A.S.,2020-12-31,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL. 64 N NRO. 5 B 26/146 LOCAL 26 EDIFICIO CENTRO EMPRESA,VALLE,CALI-VALLE,Periodo Actual,71061481,72964057,91833332,985346,0,3603172,443478,0,240890866,0,240890866,32342467,67494080,0,8345188,0,0,1286282,0,0,0,12844818,0,0,122312835,363203701,5614189,4586214,10200403,69798095,13851867,11669940,1255586,106775891,0,106775891,230576,0,230576,22295160,8314366,0,15528448,0,46368550,153144441,14629753,9114773,13500000,0,0,0,50155349,122021554,182421429,27637831,210059260,363203701
725,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304403,EMA HOLDINGS S.A.S.,2020-12-31,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL. 64 N NRO. 5 B 26/146 LOCAL 26 EDIFICIO CENTRO EMPRESA,VALLE,CALI-VALLE,Periodo Anterior,33190865,73972299,101655608,2811710,0,2973307,428536,0,215032325,0,215032325,46516423,79202372,0,14298589,0,4333356,1369184,0,77233,0,13314112,0,0,159111269,374143594,5535096,4593558,10128654,63333121,13954767,15579205,3073893,106069640,0,106069640,230714,0,230714,5503986,9308788,0,20212025,0,35255513,141325153,19115053,12153030,0,0,0,0,64618831,113289818,209176732,23641709,232818441,374143594
726,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890305795,BEIERSDORF S A,2020-12-31,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",01. SOCIEDAD ANÓNIMA,CALLE 100 23 10 PISO 8,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,37021168,44905200,19062929,1511553,,,,,102500850,,102500850,,4053771,,,,,,,,2503161,,,,6556932,109057782,,12270982,12270982,29892400,3207708,666662,9053005,55090757,,55090757,1115008,1514438,2629446,,,,,,2629446,57720203,8598996,,,,,,14145981,28592602,51337579,,51337579,109057782
727,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890305795,BEIERSDORF S A,2020-12-31,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",01. SOCIEDAD ANÓNIMA,CALLE 100 23 10 PISO 8,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,37548005,49954817,19685759,214993,,,25673,,107429247,,107429247,,5100465,,,,,,,,1493556,,,,6594021,114023268,,8683605,8683605,30046121,3598124,94786,12108172,54530808,,54530808,957964,1523674,2481638,,,,,494404,2976042,57506850,8598996,,,,,,9641768,38275654,56516418,,56516418,114023268
728,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890307989,MARSH & MCLENNAN COLOMBIA S.A.,2020-12-31,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. SOCIEDAD ANÓNIMA,CALLE 67N  # 6N 85,VALLE,CALI-VALLE,Periodo Actual,46056969,68900271,,41148679,,,2263634,,158369553,,158369553,,7095786,,2339018,,,,,8707911,,21112619,,,39255334,197624887,7901796,28323787,36225583,49315753,5214218,2735129,8582351,102073034,,102073034,864619,,864619,,,,3618881,18018244,22501744,124574778,2462130,,,,,,35799010,41497904,79759044,-6708935,73050109,197624887
729,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890307989,MARSH & MCLENNAN COLOMBIA S.A.,2020-12-31,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. SOCIEDAD ANÓNIMA,CALLE 67N  # 6N 85,VALLE,CALI-VALLE,Periodo Anterior,62550243,82858391,,33613604,,,1802271,,180824509,,180824509,,8182807,,1561251,,,,,3726092,,10061692,,,23531842,204356351,12018475,21394300,33412775,58075321,6616115,3414551,7055157,108573919,,108573919,1541852,,1541852,,,,3490693,7034715,12067260,120641179,2462130,,,,,,42457478,42796295,87715903,-4000731,83715172,204356351
730,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890311875,SCHNEIDER ELECTRIC DE COLOMBIA S.A.S,2020-12-31,C2790 - Fabricación de otros tipos de equipo eléctrico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 127 A N 53 A 48 TORRE 3 PISO 6,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,21590816,124010860,52692678,7113411,,,127004,,205534769,,205534769,,44763294,10510327,4731800,,,,,6316337,,,4604347,,70926105,276460874,,2270212,2270212,149318890,4338541,35672586,12913555,204513784,,204513784,,,,,,,3069674,,3069674,207583458,40611820,23393817,,,,,18447105,-13575326,68877416,,68877416,276460874
731,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890311875,SCHNEIDER ELECTRIC DE COLOMBIA S.A.S,2020-12-31,C2790 - Fabricación de otros tipos de equipo eléctrico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 127 A N 53 A 48 TORRE 3 PISO 6,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,9277298,162323034,60920894,16711157,,,49539,,249281922,,249281922,,47492524,10510327,2072615,,,10191591,,4055383,,,5419577,,79742017,329023939,,2059624,2059624,150423470,3157492,101432878,1033728,258107192,,258107192,,,,,,,4443023,,4443023,262550215,40611820,23393817,,,,,17935352,-15467265,66473724,,66473724,329023939
732,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890312535,SPATARO NAPOLI S A,2020-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 24 3 46,VALLE,CALI-VALLE,Periodo Actual,2311186,10458892,16735709,485924,,55941,,,30047652,,30047652,,6676743,,,,,3588349,,,,,420992,,10686084,40733736,,,,3896057,140616,15707630,1068382,20812685,,20812685,,,,2004978,1491425,,2058499,,5554902,26367587,6100000,,,,,,3194216,5071933,14366149,,14366149,40733736
